Car Name,Car Features,Car Price
Fiat Mobi1.0 Like 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 7'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 2'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 8'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 8'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 6'}","R$ 47.990,00"
Fiat Mobi1.0 Like 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 7'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 2'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 5'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 6'}","R$ 47.990,00"
Fiat Uno1.0 Attractive 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 5'}","R$ 47.990,00"
Fiat Mobi1.0 Like 2021,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 9'}","R$ 47.990,00"
Renault Kwid1.0 Zen 2022,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 0'}","R$ 51.390,00"
Fiat Mobi1.0 Like 2022,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 2'}","R$ 54.190,00"
Volkswagen Voyage1.6 2022,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 3'}","R$ 56.490,00"
Volkswagen Gol1.0 2023,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 1'}","R$ 57.990,00"
Fiat Argo1.0 Drive 2022,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 1'}","R$ 57.990,00"
Volkswagen Voyage1.0 2023,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 5'}","R$ 58.990,00"
Volkswagen Voyage1.0 2023,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 4'}","R$ 58.990,00"
Renault Logan1.0 Zen 2023,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Diesel, \n                                    \n                                    \n                                        Final da placa 6'}","R$ 62.490,00"
Fiat Argo1.0 2023,"{'icone-interrogacao': 'preço à vista', 'icones_opcionais': 'Flex, \n                                    \n                                    \n                                        Final da placa 3'}","R$ 63.590,00"
