Titre,audimodelfinder_snapelement
Q4,"à partir de 53 000,00 EUR"
Q8,"à partir de 88 600,00 EUR"
e-tron,
e-tron GT quattro,"à partir de 107 420,00 EUR"
A1,"à partir de 26 190,00 EUR"
A3,"à partir de 35 170,00 EUR"
A4,"à partir de 41 280,00 EUR"
A5,"à partir de 48 690,00 EUR"
A6,"à partir de 58 040,00 EUR"
A7,"à partir de 75 160,00 EUR"
A8,"à partir de 113 060,00 EUR"
Q2,"à partir de 32 080,00 EUR"
Q3,"à partir de 40 070,00 EUR"
Q5,"à partir de 55 020,00 EUR"
Q7,
Q8,"à partir de 135 000,00 EUR"
TT,
R8,
