Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Fiesta,Ford, 21.01.2022, INDE,3 616 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,2 637 €,,0,0,,
Pajero,Mitsubishi, 21.01.2022, INDE,16 688 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,3 004 €,,0,0,,
Indigo,Tata, 21.01.2022, INDE,3 115 €,,0,0,,
Linea,Fiat, 21.01.2022, INDE,4 728 €,,0,0,,
Linea,Fiat, 21.01.2022, INDE,3 616 €,,0,0,,
Indica,Tata, 21.01.2022, INDE,2 003 €,,0,0,,
Xylo,Mahindra, 21.01.2022, INDE,3 338 €,,0,0,,
Indigo,Tata, 21.01.2022, INDE,1 446 €,,0,0,,
Superb,Skoda, 21.01.2022, INDE,4 450 €,,0,0,,
Santro,Hyundai, 21.01.2022, INDE,890 €,,0,0,,
Endeavour,Ford, 21.01.2022, INDE,12 238 €,,0,0,,
Thar,Mahindra, 21.01.2022, INDE,8 900 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,3 783 €,,0,0,,
Corolla,Toyota, 21.01.2022, INDE,5 307 €,,0,0,,
Fiesta,Ford, 21.01.2022, INDE,4 728 €,,0,0,,
Innova,Toyota, 21.01.2022, INDE,12 905 €,,0,0,,
Etios,Toyota, 21.01.2022, INDE,3 449 €,,0,0,,
Nano,Tata, 21.01.2022, INDE,723 €,,0,0,,
Terrano,Nissan, 21.01.2022, INDE,11 014 €,,0,0,,
Classe a,Mercedes, 21.01.2022, INDE,30 038 €,,0,0,,
Yeti,Skoda, 21.01.2022, INDE,8 344 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,5 340 €,,0,0,,
Indigo,Tata, 21.01.2022, INDE,3 906 €,,0,0,,
